MONTH,ETF_NET_FLOW_USD_MILLIONS
2024-07,-967.2
2024-08,12.40000000000002
2024-09,-91.99999999999999
2024-10,86.0
2024-11,2114.3999999999996
2024-12,4168.2
2025-01,203.00000000000006
2025-02,120.0000000000001
2025-03,-778.0
2025-04,132.2
2025-05,1128.4
2025-06,2330.2
2025-07,10861.8
2025-08,7743.4
2025-09,-1768.6
