MONTH;SECTOR;AVG_DAILY_ACTIVE_ADDRESSES;TRANSACTIONS
2025-02;Lending Borrows;739;36595
2025-02;NFT Sales;7310;326374
2025-02;NFT Transfers;108588;4168844
2025-02;Others;238516;22959973
2025-03;DEX Trading;45414;7666838
2025-03;Lending Deposits;1485;91531
2025-03;Lending Borrows;738;41253
2025-03;NFT Sales;6472;267526
2025-03;NFT Transfers;616035;20226289
2025-03;Others;0;7972969
2025-04;DEX Trading;43697;7959691
2025-04;Lending Deposits;1351;105133
2025-04;Lending Borrows;796;43020
2025-04;NFT Sales;5410;228444
2025-04;NFT Transfers;426128;13683383
2025-04;Others;0;13998983
2025-05;DEX Trading;58686;9528199
2025-05;Lending Deposits;1273;111053
2025-05;Lending Borrows;908;50356
2025-05;NFT Sales;5540;241269
2025-05;NFT Transfers;29758;1863818
2025-05;Others;315260;29408729
2025-06;DEX Trading;61008;8784925
2025-06;Lending Deposits;1374;108614
2025-06;Lending Borrows;824;43345
2025-06;NFT Sales;12590;352246
2025-06;NFT Transfers;22933;1490371
2025-06;Others;344751;30420596
2025-07;DEX Trading;68060;9823733
2025-07;Lending Deposits;1882;145446
2025-07;Lending Borrows;1148;67927
2025-07;NFT Sales;7328;303932
2025-07;NFT Transfers;52861;2232411
2025-07;Others;348019;33384532
2025-08;DEX Trading;71188;10563209
2025-08;Lending Deposits;2065;177437
2025-08;Lending Borrows;1321;82314
2025-08;NFT Sales;8110;426637
2025-08;NFT Transfers;37575;2262149
2025-08;Others;421057;37493321
